TEAM,PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Pheonix Suns,"
Josh Okogie",3:57,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-8
Pheonix Suns,"
Dario Saric",1:41,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-8
Pheonix Suns,"
Bismack Biyombo",7:26,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,1,2,0,-7
Pheonix Suns,"
Mikal Bridges
",37:42,6,10,60.0,0,0,0.0,1,2,50.0,2,5,7,6,1,0,3,4,13,6
Pheonix Suns,"
Cameron Johnson
",22:31,2,9,22.2,1,6,16.7,0,0,0.0,1,2,3,2,2,0,2,1,5,-5
Pheonix Suns,"
Deandre Ayton
",38:29,12,22,54.5,1,1,100,1,3,33.3,1,5,6,3,1,1,4,5,26,1
Pheonix Suns,"
Devin Booker
",43:55,11,23,47.8,3,7,42.9,8,9,88.9,0,5,5,3,1,0,2,1,33,-2
Pheonix Suns,"
Chris Paul
",36:09,5,11,45.5,0,1,0.0,0,0,0.0,0,4,4,12,5,0,1,5,10,0
Pheonix Suns,"
Cameron Payne",16:50,1,3,33.3,1,3,33.3,2,2,100,0,2,2,1,0,0,2,2,5,-2
Pheonix Suns,"
Torrey Craig",10:30,1,3,33.3,1,3,33.3,0,0,0.0,0,1,1,1,1,0,1,0,3,-3
Pheonix Suns,"
Jock Landale",14:28,2,5,40.0,1,2,50.0,1,2,50.0,2,2,4,0,0,0,1,4,6,-3
Pheonix Suns,"
Damion Lee",30:50,2,6,33.3,2,4,50.0,2,3,66.7,2,4,6,3,2,0,0,5,8,3
Pheonix Suns,"
Josh Okogie",13:36,1,2,50.0,0,0,0.0,0,0,0.0,1,2,3,0,1,0,0,2,2,-5
Pheonix Suns,"
Bismack Biyombo",0:01,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Pheonix Suns,"
Mikal Bridges
",36:29,3,9,33.3,1,3,33.3,0,0,0.0,1,3,4,4,0,1,1,3,7,9
Pheonix Suns,"
Cameron Johnson
",22:36,4,6,66.7,3,4,75.0,0,0,0.0,1,4,5,2,1,0,0,4,11,13
Pheonix Suns,"
Deandre Ayton
",28:45,6,11,54.5,0,1,0.0,1,1,100,2,6,8,1,0,1,4,5,13,7
Pheonix Suns,"
Devin Booker
",34:49,13,21,61.9,5,9,55.6,4,4,100,1,0,1,4,1,0,3,1,35,13
Pheonix Suns,"
Chris Paul
",32:37,3,11,27.3,1,8,12.5,0,0,0.0,3,5,8,11,1,1,2,2,7,15
Pheonix Suns,"
Cameron Payne",14:34,4,11,36.4,1,3,33.3,1,2,50.0,0,1,1,2,1,0,2,0,10,0
Pheonix Suns,"
Torrey Craig",24:49,3,7,42.9,2,5,40.0,0,0,0.0,3,6,9,2,0,0,0,1,8,1
Pheonix Suns,"
Jock Landale",17:19,4,8,50.0,0,2,0.0,1,1,100,2,8,10,1,0,0,0,0,9,13
Pheonix Suns,"
Damion Lee",12:13,1,3,33.3,0,2,0.0,0,0,0.0,0,1,1,1,0,0,0,1,2,6
Pheonix Suns,"
Landry Shamet",13:21,2,5,40.0,2,5,40.0,2,2,100,0,1,1,1,1,0,0,1,8,4
Pheonix Suns,"
Duane Washington Jr.",1:14,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2
Pheonix Suns,"
Josh Okogie",1:14,0,0,0.0,0,0,0.0,2,2,100,0,1,1,0,0,0,0,0,2,2
Pheonix Suns,"
Mikal Bridges
",32:54,7,8,87.5,0,0,0.0,3,3,100,3,3,6,2,1,2,1,3,17,21
Pheonix Suns,"
Cameron Johnson
",33:23,3,11,27.3,1,6,16.7,2,4,50.0,3,2,5,2,0,0,0,0,9,26
Pheonix Suns,"
Deandre Ayton
",25:04,6,14,42.9,0,1,0.0,4,4,100,5,9,14,4,1,0,4,5,16,2
Pheonix Suns,"
Devin Booker
",35:19,10,19,52.6,3,8,37.5,11,14,78.6,1,1,2,7,3,0,3,3,34,32
Pheonix Suns,"
Chris Paul
",35:13,5,10,50.0,4,5,80.0,2,2,100,0,7,7,9,1,0,2,4,16,21
Pheonix Suns,"
Torrey Craig",10:29,3,4,75.0,2,3,66.7,0,0,0.0,0,2,2,0,1,0,0,0,8,0
Pheonix Suns,"
Cameron Payne",13:30,3,6,50.0,0,0,0.0,2,2,100,0,4,4,5,0,0,1,1,8,8
Pheonix Suns,"
Jock Landale",22:09,6,12,50.0,1,4,25.0,4,5,80.0,2,5,7,0,0,2,1,1,17,27
Pheonix Suns,"
Landry Shamet",15:08,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,1,2,2,8
Pheonix Suns,"
Damion Lee",15:20,2,5,40.0,1,2,50.0,0,0,0.0,0,1,1,1,0,0,0,0,5,-5
Pheonix Suns,"
Josh Okogie",1:31,1,1,100,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,5
Pheonix Suns,"
Mikal Bridges
",31:08,10,13,76.9,3,5,60.0,4,4,100,0,2,2,4,1,3,1,1,27,-1
Pheonix Suns,"
Cameron Johnson
",26:54,5,10,50.0,2,6,33.3,4,4,100,0,2,2,3,2,0,0,2,16,-2
Pheonix Suns,"
Deandre Ayton
",7:42,2,4,50.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,0,4,-5
Pheonix Suns,"
Devin Booker
",32:36,6,14,42.9,0,4,0.0,4,4,100,0,5,5,4,0,0,5,1,16,4
